Rank,Player,Team,Position,Age,Speed
149," Simmons, Andrelton",,SS,28,27.8
150," Rosario, Eddie",,LF,26,27.8
151," Soler, Jorge",,RF,25,27.8
152," Owings, Chris",,SS,26,27.8
153," Wong, Kolten",,2B,27,27.7
154," Saladino, Tyler",,2B,28,27.7
155," Heyward, Jason",,RF,28,27.7
156," Judge, Aaron",,RF,25,27.7
157," Russell, Addison",,SS,23,27.7
158," Torres, Ramon",,2B,24,27.7
159," Upton, Justin",,LF,30,27.7
160," Almora Jr., Albert",,CF,23,27.7
161," Szczur, Matt",,CF,28,27.7
162," Kelly, Ty",,2B,29,27.7
163," Reddick, Josh",,RF,30,27.6
164," Polanco, Gregory",,RF,26,27.6
165," Valaika, Pat",,SS,25,27.6
166," Machado, Dixon",,SS,25,27.6
167," Hosmer, Eric",,1B,28,27.6
168," Martinez, Jose",,1B,29,27.6
169," Villar, Jonathan",,2B,26,27.6
170," Peterson, Shane",,LF,29,27.6
171," Conforto, Michael",,LF,24,27.6
172," Hechavarria, Adeiny",,SS,28,27.6
173," Jackson, Austin",,CF,30,27.6
174," Hernandez, Teoscar",,LF,25,27.6
175," Collins, Tyler",,CF,27,27.6
176," Garcia, Greg",,3B,28,27.5
177," Alfaro, Jorge",,C,24,27.5
178," Utley, Chase",,2B,39,27.6
179," Asuaje, Carlos",,2B,26,27.6
180," Gallo, Joey",,3B,24,27.5
181," Inciarte, Ender",,CF,27,27.6
182," Blash, Jabari",,RF,28,27.5
183," Miller, Brad",,2B,28,27.5
184," Saunders, Michael",,RF,31,27.5
185," Stevenson, Andrew",,RF,23,27.5
186," Herrera, Odubel",,CF,26,27.5
187," Desmond, Ian",,LF,32,27.5
188," Beckham, Tim",,SS,27,27.5
189," Rickard, Joey",,RF,26,27.5
190," Frazier, Adam",,LF,26,27.5
191," Andrus, Elvis",,SS,29,27.5
192," Bregman, Alex",,3B,23,27.5
193," Garcia, Willy",,RF,25,27.5
194," Guyer, Brandon",,RF,31,27.4
195," Stanton, Giancarlo",,RF,28,27.4
196," Segura, Jean",,SS,27,27.4
197," Mercer, Jordy",,SS,31,27.4
